,Season,Team,Points,Goals_for_+,Goals_against_-,Wins,Draws,Losses
0,2014,ΟΛΥΜΠΙΑΚΟΣ,78,79,23,24,6,4
1,2014,ΠΑΝΑΘΗΝΑΪΚΟΣ,66,59,31,21,6,7
2,2014,Π.Α.Ο.Κ.,65,57,42,20,5,9
3,2014,ΑΣΤΕΡΑΣ ΤΡΙΠ.,59,52,37,17,8,9
4,2014,ΑΤΡΟΜΗΤΟΣ ΑΘ.,54,43,27,14,12,8
5,2014,ΠΑΣ ΓΙΑΝΝΙΝΑ,53,47,33,13,14,7
6,2014,ΠΑΝΑΙΤΩΛΙΚΟΣ,52,41,28,14,10,10
7,2014,SKODA ΞΑΝΘΗ,47,44,41,12,11,11
8,2014,ΠΛΑΤΑΝΙΑΣ,44,32,30,12,8,14
9,2014,ΑΕΛ ΚΑΛΛΟΝΗΣ,44,34,39,11,11,12
10,2014,ΠΑΝΘΡΑΚΙΚΟΣ,43,35,44,11,10,13
11,2014,ΠΑΝΙΩΝΙΟΣ,43,43,42,11,10,13
12,2014,ΒΕΡΟΙΑ,43,45,54,12,7,15
13,2014,ΛΕΒΑΔΕΙΑΚΟΣ,43,41,34,12,7,15
14,2014,ΕΡΓΟΤΕΛΗΣ,32,35,60,8,8,18
15,2014,Ο.Φ.Η.,-6,26,72,7,2,25
16,2014,ΝΙΚΗ ΒΟΛΟΥ,-6,7,84,2,1,31
17,2014,Α.Ο.Κ.,44,39,38,12,8,14
