,Season,Team,Points,Goals_for_+,Goals_against_-,Wins,Draws,Losses
0,2019,ΟΛΥΜΠΙΑΚΟΣ,66,53,9,20,6,0
1,2019,Π.Α.Ο.Κ.,52,50,23,18,5,3
2,2019,A.E.K.,51,42,22,15,6,5
3,2019,ΠΑΝΑΘΗΝΑΪΚΟΣ,44,35,23,12,8,6
4,2019,Ο.Φ.Η.,34,35,35,10,4,12
5,2019,ΑΡΗΣ,34,38,32,8,10,8
6,2019,ΑΤΡΟΜΗΤΟΣ ΑΘ.,32,31,36,9,5,12
7,2019,Α.Ε.Λ.,30,28,33,7,9,10
8,2019,ΑΣΤΕΡΑΣ ΤΡΙΠ.,30,33,37,8,6,12
9,2019,ΠΑΣ ΛΑΜΙΑ,27,19,33,5,12,9
10,2019,ΒΟΛΟΣ ΝΠΣ,27,23,42,7,6,13
11,2019,Α.Ο. ΞΑΝΘΗ,18,21,32,8,6,12
12,2019,ΠΑΝΑΙΤΩΛΙΚΟΣ,17,20,42,3,8,15
13,2019,ΠΑΝΙΩΝΙΟΣ,11,16,45,4,5,17
