,Season,Team,Points,Goals_for_+,Goals_against_-,Wins,Draws,Losses
0,2018,Π.Α.Ο.Κ.,80,66,14,26,4,0
1,2018,ΟΛΥΜΠΙΑΚΟΣ,75,71,17,24,3,3
2,2018,A.E.K.,57,50,19,18,6,6
3,2018,ΑΤΡΟΜΗΤΟΣ ΑΘ.,52,41,28,15,7,8
4,2018,ΑΡΗΣ,49,46,33,15,4,11
5,2018,ΠΑΝΙΩΝΙΟΣ,38,27,45,11,5,14
6,2018,ΛΑΜΙΑ,37,28,37,9,10,11
7,2018,ΠΑΝΑΘΗΝΑΪΚΟΣ,36,38,30,13,8,9
8,2018,ΠΑΝΑΙΤΩΛΙΚΟΣ,36,34,48,10,6,14
9,2018,Α.Ε.Λ.,34,26,34,8,10,12
10,2018,ΑΣΤΕΡΑΣ ΤΡΙΠ.,33,25,30,8,9,13
11,2018,Α.Ο. ΞΑΝΘΗ,32,22,34,7,11,12
12,2018,Ο.Φ.Η.,32,30,42,7,11,12
13,2018,ΠΑΣ ΓΙΑΝΝΙΝΑ,27,19,38,7,6,17
14,2018,ΛΕΒΑΔΕΙΑΚΟΣ,21,15,45,5,6,19
15,2018,ΑΠΟΛΛΩΝ ΣΜ.,10,11,55,2,4,24
