,Season,Team,Points,Goals_for_+,Goals_against_-,Wins,Draws,Losses
0,2016,ΟΛΥΜΠΙΑΚΟΣ,67,57,16,21,4,5
1,2016,Π.Α.Ο.Κ.,61,52,19,20,4,6
2,2016,ΠΑΝΑΘΗΝΑΪΚΟΣ,57,45,19,16,9,5
3,2016,A.E.K.,53,54,23,14,11,5
4,2016,ΠΑΝΙΩΝΙΟΣ,52,35,23,15,7,8
5,2016,Α.Ο. ΞΑΝΘΗ,48,34,25,13,9,8
6,2016,ΠΛΑΤΑΝΙΑΣ,42,34,38,11,9,10
7,2016,ΑΤΡΟΜΗΤΟΣ ΑΘ.,39,29,38,11,6,13
8,2016,ΠΑΣ ΓΙΑΝΝΙΝΑ,36,30,37,8,12,10
9,2016,Α.Ο.Κ.,32,22,43,8,8,14
10,2016,ΠΑΝΑΙΤΩΛΙΚΟΣ,31,29,40,8,7,15
11,2016,ΑΣΤΕΡΑΣ ΤΡΙΠ.,28,34,49,6,10,14
12,2016,Α.Ε.Λ.,28,23,42,6,10,14
13,2016,ΛΕΒΑΔΕΙΑΚΟΣ,26,27,49,6,8,16
14,2016,ΑΕΠ ΗΡΑΚΛΗΣ,29,28,39,6,11,13
15,2016,ΒΕΡΟΙΑ,22,23,56,5,7,18
