,Season,Team,Points,Goals_for_+,Goals_against_-,Wins,Draws,Losses
0,2015,ΟΛΥΜΠΙΑΚΟΣ,85,81,16,28,1,1
1,2015,ΠΑΝΑΘΗΝΑΪΚΟΣ,55,52,26,18,4,8
2,2015,A.E.K.,54,43,21,17,6,7
3,2015,Π.Α.Ο.Κ.,45,45,32,13,9,8
4,2015,ΠΑΝΙΩΝΙΟΣ,44,33,27,12,8,10
5,2015,ΠΑΣ ΓΙΑΝΝΙΝΑ,42,36,40,12,6,12
6,2015,ΑΣΤΕΡΑΣ ΤΡΙΠ.,41,31,30,11,8,11
7,2015,ΑΤΡΟΜΗΤΟΣ ΑΘ.,39,26,31,12,6,12
8,2015,ΠΛΑΤΑΝΙΑΣ,39,32,30,10,9,11
9,2015,ΛΕΒΑΔΕΙΑΚΟΣ,37,27,36,9,10,11
10,2015,ΠΑΝΑΙΤΩΛΙΚΟΣ,35,30,46,9,8,13
11,2015,ΑΕΠ ΗΡΑΚΛΗΣ,35,24,32,8,11,11
12,2015,SKODA ΞΑΝΘΗ,33,27,32,6,15,9
13,2015,ΒΕΡΟΙΑ,27,19,33,5,12,13
14,2015,ΠΑΝΘΡΑΚΙΚΟΣ,17,18,58,3,8,19
15,2015,ΑΕΛ ΚΑΛΛΟΝΗΣ,16,19,53,3,7,20
